Artist,Album,Genre,Release Date,Listened On,Favorite Songs,Rating,Tags,,,,,,,,,
death's dynamic shroud,After Angel,"Electronic, Vaporwave",6/30/2023,7/6/2023,"Phantom You In Four Parts, Sorry Pt. 2, You Don't Care",4,New, ,Foo Fighters,But Here We Are,Alt Rock,,Worth It.,RAYE,"Pop, R&B",
St. Vincent,Daddy's Home,"Psychedelic Soul, Art Pop",5/14/2021,7/7/2023,"Somebody Like Me, The Melting Of The Sun, My Baby Wants A Baby",7.5,Recommendation - Harrison, ,ANOHNI,My Back Was A Bridge For You To Cross,"Singer-Songwriter, Soul",,I want to be closer to you,YUKIKA,"City Pop, K-pop",
Ropes Inside A Hole,A Man And His Nature,Post-Metal,1/10/2023,7/8/2023,"Distance, Loss and Grief, Feet In The Swamp Gaze To The Sky",5,New, ,"Black Country, New Road",Live at Bush Hall,Art Rock,,Backseat Girl,Jane Remover,Shoegaze,
Origami Angel,The Brightest Days,"Pop-Punk, Emo",6/16/2023,7/10/2023,"The Brightest Days, Thank You New Jersey, Picture Frame",3.5,New, ,Kali Uchis,Red Moon In Venus,R&B,,False Swipe,Kill Bill: The Rapper,Jazz Rap,
ANOHNI,My Back Was A Bridge For You To Cross,"Singer-Songwriter, Soul",7/7/2023,7/15/2023,"Sliver Of Ice, Rest, It Must Change",7,New, ,The Lemon Twigs,Everything Harmony,Soft Rock,,victims and villains,"Musiq Soulchild, Hit-Boy",R&B,
Carly Rae Jepsen,The Loveliest Time,Pop,10/21/2022,7/17/2023,"Shy Boy, Kamikaze, Put It To Rest",,Last Year,,,,,,Sliver Of Ice,ANOHNI,"Singer-Songwriter, Soul",
The Alchemist,Flying High,Hip Hop,6/30/2023,7/18/2023,"RIP Tracy, Bless, Midnight Oil",3.5,New,,,,,,vampire,Olivia Rodrigo,Pop,
DEADPAN,EDGE OF THE W*RLD,Experimental Hip Hop,12/16/2022,7/25/2023,"RESENTMENT!, WWW, SHOULDER//BLADES",4,Last Year,,,,,,Shy Boy,Carly Rae Jepsen,Pop,
Albert Hammond Jr,Melodies on Hiatus,Indie Rock,6/23/2023,8/1/2023,"Alright Tomorrow, Old Man, Downtown Fred",5.5,New,,,,,,Oh No Darling!,Sarah Kinsley,Indie Pop,
Mustard Service,Variety Pack,Indie Pop,8/4/2023,8/5/2023,"Baby It's Scary, Last Night Drive, Larkin's Parkin'",5,New, ,,,,,Angels in Tibet,Amaarae,"Alt A&B, Pop",
M.A.G.S.,Destroyer,"Indie Rock, Alternative",8/4/2023,8/7/2023,"Sins, Floyd, Destroyer",4.5,New, ,,,,,Flexorcist,The Voidz,Neo-Psychedelia,
"Musiq Soulchild, Hit-Boy",Victims & Villains,R&B,3/10/2023,8/8/2023,"victims and villains, will i touch the sky, is it love is it lies",6,New, ,,,,,Rescued,Foo Fighters,Alt Rock,
Bruno Major,Columbo,Singer-songwriter,7/21/2023,8/11/2023,"The Show Must Go On, We Were Never Really Friends",5.5,New, ,,,,,Arrival,Parannoul,Shoegaze,
Dana and Alden,Quiet Music For Young People,Jazz,8/4/2023,8/12/2023,"Dragonfly, Let's Go to Trader Joe's, July 98",,New,,,,,,Candle Flame,Jungle,"Funk, Disco",
TURQUOISEDEATH,Se Bueno,Breakcore,7/28/2023,8/13/2023,"Dive, The Sky Fell, Vertigo",5,New, ,,,,,Pig,Superbloom,"Grunge, Shoegaze", 
Noname,Sundial,Jazz Rap,8/11/2023,8/15/2023,"black mirror, oblivion, boomboom",7.5,New, ,,,,,Isn't It Strange,Pedro Martins,"Jazz, Funk",
Ryan Beatty,Calico,"Indie Pop, Singer-songwriter",4/28/2023,8/16/2023,"Cinnamon Bread, Ribbons, Bruises Off The Peach",7.5,New, ,,,,,Gila Monster,King Gizzard & The Lizard Wizard,Metal,
Jeff Rosenstock,HELLMODE,Pop-Punk,8/31/2023,9/5/2023,"WILL U STILL U, I WANNA BE WRONG, 3 SUMMERS",7,New, ,,,,,I'm The President,KNOWER,"Jazz, Funk", 
Laufey,Bewitched,Jazz,9/8/2023,9/10/2023,"Bewitched, Lovesick, Dreamer",9,New, ,,,,,A Thousand Lives,The Murder Capital,"Art-Rock, Punk",
Kali Uchis,Red Moon In Venus,R&B,3/3/2023,9/17/2023,"All Mine, Moonlight, I Wish you Roses",7,New, ,,,,,ぬい (Track 7),君島大空 (Ohzora Kimishima),Folktronica,
Olivia Rodrigo,GUTS,Pop,9/8/2023,9/19/2023,"vampire, the grudge, love is embarrassing",6.5,New, ,,,,,Good Morning Texts,bl4ck m4rket c4rt,Indie Rock,
Mitski,The Land Is Inhospitable and So Are We,Indie,9/15/2023,9/23/2023,"Heaven, The Frost, My Love Mine All Mine",5,New, ,,,,,Who I Say I Am,death's dynamic shroud,"Vaporwave, Glitch pop",
Doja Cat,Scarlet,Rap,9/22/2023,9/26/2023,"Paint The Town Red, Ouchies, Shutcho",3,New, ,,,,,Foreign Ties,Certainly So,Alternative/Indie,
underscores,Wallsocket,"Hyperpop, Electronic",9/22/2023,9/30/2023,"Locals (Girls like us), OId money bitch, Johnny johnny johnny",6.5,New, ,,,,,Mindful Solutionism,Aesop Rock,Abstract Hip Hop,
Pedro Martins,Rádio Mistério,"Jazz, Funk",5/31/2023,10/1/2023,"Isn't It Strange, Nada Vai Ser Em Vão, Polos",5.5,New, ,,,,,Caroline,Narrow Head,Shoegaze / Grunge,
